scenario,parameters,C_actual,N_actual,initial_cost,final_cost,improvement,improvement_pct,barges_used,containers_on_barges,containers_trucked,barge_utilization_pct,success,parameter,variation_pct,test_value
Qk_base,{'Qk': 2500, 'H_b': 60, 'H_t_40': 65, 'H_t_20': 45, 'Handling_time': 0.4, 'travel_times': 1.0, 'num_barges': 8, 'N': 16, 'C': 160},160,16,7579.599999999999,7341,238.59999999999945,3.1479233732650727,8,63,111,0.5900000000000001,True,Qk,0,2500
Qk_+10%,{'Qk': 2750.0, 'H_b': 60, 'H_t_40': 65, 'H_t_20': 45, 'Handling_time': 0.4, 'travel_times': 1.0, 'num_barges': 8, 'N': 16, 'C': 160},160,16,7579.599999999999,7341,238.59999999999945,3.1479233732650727,8,63,111,0.5363636363636364,True,Qk,10,2750.0
Qk_+20%,{'Qk': 3000.0, 'H_b': 60, 'H_t_40': 65, 'H_t_20': 45, 'Handling_time': 0.4, 'travel_times': 1.0, 'num_barges': 8, 'N': 16, 'C': 160},160,16,7579.599999999999,7341,238.59999999999945,3.1479233732650727,8,63,111,0.49166666666666664,True,Qk,20,3000.0
Qk_+30%,{'Qk': 3250.0, 'H_b': 60, 'H_t_40': 65, 'H_t_20': 45, 'Handling_time': 0.4, 'travel_times': 1.0, 'num_barges': 8, 'N': 16, 'C': 160},160,16,7579.599999999999,7341,238.59999999999945,3.1479233732650727,8,63,111,0.4538461538461538,True,Qk,30,3250.0
Qk_+50%,{'Qk': 3750.0, 'H_b': 60, 'H_t_40': 65, 'H_t_20': 45, 'Handling_time': 0.4, 'travel_times': 1.0, 'num_barges': 8, 'N': 16, 'C': 160},160,16,7579.599999999999,7341,238.59999999999945,3.1479233732650727,8,63,111,0.39333333333333337,True,Qk,50,3750.0
H_b_base,{'Qk': 2500, 'H_b': 60, 'H_t_40': 65, 'H_t_20': 45, 'Handling_time': 0.4, 'travel_times': 1.0, 'num_barges': 8, 'N': 16, 'C': 160},160,16,7579.599999999999,7341,238.59999999999945,3.1479233732650727,8,63,111,0.5900000000000001,True,H_b,0,60
H_b_+10%,{'Qk': 2500, 'H_b': 66.0, 'H_t_40': 65, 'H_t_20': 45, 'Handling_time': 0.4, 'travel_times': 1.0, 'num_barges': 8, 'N': 16, 'C': 160},160,16,7627.599999999999,7389.0,238.59999999999945,3.1281136923802957,8,63,111,0.5900000000000001,True,H_b,10,66.0
H_b_+20%,{'Qk': 2500, 'H_b': 72.0, 'H_t_40': 65, 'H_t_20': 45, 'Handling_time': 0.4, 'travel_times': 1.0, 'num_barges': 8, 'N': 16, 'C': 160},160,16,7675.599999999999,7437.0,238.59999999999945,3.1085517744541074,8,63,111,0.5900000000000001,True,H_b,20,72.0
H_b_+30%,{'Qk': 2500, 'H_b': 78.0, 'H_t_40': 65, 'H_t_20': 45, 'Handling_time': 0.4, 'travel_times': 1.0, 'num_barges': 8, 'N': 16, 'C': 160},160,16,7723.599999999999,7485.0,238.59999999999945,3.089233000155361,8,63,111,0.5900000000000001,True,H_b,30,78.0
H_b_+50%,{'Qk': 2500, 'H_b': 90.0, 'H_t_40': 65, 'H_t_20': 45, 'Handling_time': 0.4, 'travel_times': 1.0, 'num_barges': 8, 'N': 16, 'C': 160},160,16,7819.6,7581.0,238.60000000000036,3.0513069722236477,8,63,111,0.5900000000000001,True,H_b,50,90.0
H_t_40_base,{'Qk': 2500, 'H_b': 60, 'H_t_40': 65, 'H_t_20': 45, 'Handling_time': 0.4, 'travel_times': 1.0, 'num_barges': 8, 'N': 16, 'C': 160},160,16,7579.599999999999,7341,238.59999999999945,3.1479233732650727,8,63,111,0.5900000000000001,True,H_t_40,0,65
