scenario,parameters,C_actual,N_actual,initial_cost,final_cost,improvement,improvement_pct,barges_used,containers_on_barges,containers_trucked,barge_utilization_pct,success,parameter,variation_pct,test_value
H_t_40_base,{'Qk': [104, 99, 81, 52, 28], 'H_b': [3700, 3600, 3400, 2800, 1800], 'H_t_40': 200, 'H_t_20': 140, 'Handling_time': 0.16666666666666666, 'travel_times': 1.0, 'num_barges': 5, 'N': 16, 'C': 160},160,16,37772.49999999999,35016,2756.4999999999927,7.297637169898719,4,38,122,34.02735381902049,True,H_t_40,0,200
H_t_40_+10%,{'Qk': [104, 99, 81, 52, 28], 'H_b': [3700, 3600, 3400, 2800, 1800], 'H_t_40': 220.00000000000003, 'H_t_20': 140, 'Handling_time': 0.16666666666666666, 'travel_times': 1.0, 'num_barges': 5, 'N': 16, 'C': 160},160,16,39752.49999999999,37076.0,2676.4999999999927,6.732909879881752,4,38,122,34.02735381902049,True,H_t_40,10,220.00000000000003
H_t_40_+20%,{'Qk': [104, 99, 81, 52, 28], 'H_b': [3700, 3600, 3400, 2800, 1800], 'H_t_40': 240.0, 'H_t_20': 140, 'Handling_time': 0.16666666666666666, 'travel_times': 1.0, 'num_barges': 5, 'N': 16, 'C': 160},160,16,41732.49999999999,39136.0,2596.4999999999927,6.221769604025623,4,38,122,34.02735381902049,True,H_t_40,20,240.0
H_t_40_+30%,{'Qk': [104, 99, 81, 52, 28], 'H_b': [3700, 3600, 3400, 2800, 1800], 'H_t_40': 260.0, 'H_t_20': 140, 'Handling_time': 0.16666666666666666, 'travel_times': 1.0, 'num_barges': 5, 'N': 16, 'C': 160},160,16,43712.49999999999,41196.0,2516.4999999999927,5.756934515298812,4,38,122,34.02735381902049,True,H_t_40,30,260.0
H_t_40_+50%,{'Qk': [104, 99, 81, 52, 28], 'H_b': [3700, 3600, 3400, 2800, 1800], 'H_t_40': 300.0, 'H_t_20': 140, 'Handling_time': 0.16666666666666666, 'travel_times': 1.0, 'num_barges': 5, 'N': 16, 'C': 160},160,16,47672.49999999999,45316.0,2356.4999999999927,4.943101368713605,4,38,122,34.02735381902049,True,H_t_40,50,300.0
H_t_20_base,{'Qk': [104, 99, 81, 52, 28], 'H_b': [3700, 3600, 3400, 2800, 1800], 'H_t_40': 200, 'H_t_20': 140, 'Handling_time': 0.16666666666666666, 'travel_times': 1.0, 'num_barges': 5, 'N': 16, 'C': 160},160,16,37772.49999999999,35016,2756.4999999999927,7.297637169898719,4,38,122,34.02735381902049,True,H_t_20,0,140
H_t_20_+10%,{'Qk': [104, 99, 81, 52, 28], 'H_b': [3700, 3600, 3400, 2800, 1800], 'H_t_40': 200, 'H_t_20': 154.0, 'Handling_time': 0.16666666666666666, 'travel_times': 1.0, 'num_barges': 5, 'N': 16, 'C': 160},160,16,38010.49999999999,35282.0,2728.4999999999927,7.1782796858762525,4,38,122,34.02735381902049,True,H_t_20,10,154.0
H_t_20_+20%,{'Qk': [104, 99, 81, 52, 28], 'H_b': [3700, 3600, 3400, 2800, 1800], 'H_t_40': 200, 'H_t_20': 168.0, 'Handling_time': 0.16666666666666666, 'travel_times': 1.0, 'num_barges': 5, 'N': 16, 'C': 160},160,16,38248.49999999999,35548.0,2700.4999999999927,7.060407597683552,4,38,122,34.02735381902049,True,H_t_20,20,168.0
H_t_20_+30%,{'Qk': [104, 99, 81, 52, 28], 'H_b': [3700, 3600, 3400, 2800, 1800], 'H_t_40': 200, 'H_t_20': 182.0, 'Handling_time': 0.16666666666666666, 'travel_times': 1.0, 'num_barges': 5, 'N': 16, 'C': 160},160,16,38486.49999999999,35814.0,2672.4999999999927,6.943993348316925,4,38,122,34.02735381902049,True,H_t_20,30,182.0
H_t_20_+50%,{'Qk': [104, 99, 81, 52, 28], 'H_b': [3700, 3600, 3400, 2800, 1800], 'H_t_40': 200, 'H_t_20': 210.0, 'Handling_time': 0.16666666666666666, 'travel_times': 1.0, 'num_barges': 5, 'N': 16, 'C': 160},160,16,38962.49999999999,36346.0,2616.4999999999927,6.715431504651892,4,38,122,34.02735381902049,True,H_t_20,50,210.0
Handling_time_base,{'Qk': [104, 99, 81, 52, 28], 'H_b': [3700, 3600, 3400, 2800, 1800], 'H_t_40': 200, 'H_t_20': 140, 'Handling_time': 0.16666666666666666, 'travel_times': 1.0, 'num_barges': 5, 'N': 16, 'C': 160},160,16,37772.49999999999,35016,2756.4999999999927,7.297637169898719,4,38,122,34.02735381902049,True,Handling_time,0,0.16666666666666666
Handling_time_+10%,{'Qk': [104, 99, 81, 52, 28], 'H_b': [3700, 3600, 3400, 2800, 1800], 'H_t_40': 200, 'H_t_20': 140, 'Handling_time': 0.18333333333333335, 'travel_times': 1.0, 'num_barges': 5, 'N': 16, 'C': 160},160,16,37772.74999999999,35016,2756.7499999999927,7.2982507230741565,4,38,122,34.02735381902049,True,Handling_time,10,0.18333333333333335
