scenario,parameters,C_actual,N_actual,initial_cost,final_cost,improvement,improvement_pct,barges_used,containers_on_barges,containers_trucked,barge_utilization_pct,success,parameter,variation_pct,test_value
H_t_40_base,{'Qk': [104, 99, 81, 52, 28], 'H_b': [3700, 3600, 3400, 2800, 1800], 'H_t_40': 200, 'H_t_20': 140, 'Handling_time': 0.16666666666666666, 'travel_times': 1.0, 'num_barges': 5, 'N': 16, 'C': 160},160,16,37772.49999999999,35016,2756.4999999999927,7.297637169898719,4,38,122,34.02735381902049,True,H_t_40,0,200
H_t_40_+20%,{'Qk': [104, 99, 81, 52, 28], 'H_b': [3700, 3600, 3400, 2800, 1800], 'H_t_40': 240.0, 'H_t_20': 140, 'Handling_time': 0.16666666666666666, 'travel_times': 1.0, 'num_barges': 5, 'N': 16, 'C': 160},160,16,41732.49999999999,39136.0,2596.4999999999927,6.221769604025623,4,38,122,34.02735381902049,True,H_t_40,20,240.0
H_t_40_+50%,{'Qk': [104, 99, 81, 52, 28], 'H_b': [3700, 3600, 3400, 2800, 1800], 'H_t_40': 300.0, 'H_t_20': 140, 'Handling_time': 0.16666666666666666, 'travel_times': 1.0, 'num_barges': 5, 'N': 16, 'C': 160},160,16,47672.49999999999,45316.0,2356.4999999999927,4.943101368713605,4,38,122,34.02735381902049,True,H_t_40,50,300.0
H_t_20_base,{'Qk': [104, 99, 81, 52, 28], 'H_b': [3700, 3600, 3400, 2800, 1800], 'H_t_40': 200, 'H_t_20': 140, 'Handling_time': 0.16666666666666666, 'travel_times': 1.0, 'num_barges': 5, 'N': 16, 'C': 160},160,16,37772.49999999999,35016,2756.4999999999927,7.297637169898719,4,38,122,34.02735381902049,True,H_t_20,0,140
H_t_20_+20%,{'Qk': [104, 99, 81, 52, 28], 'H_b': [3700, 3600, 3400, 2800, 1800], 'H_t_40': 200, 'H_t_20': 168.0, 'Handling_time': 0.16666666666666666, 'travel_times': 1.0, 'num_barges': 5, 'N': 16, 'C': 160},160,16,38248.49999999999,35548.0,2700.4999999999927,7.060407597683552,4,38,122,34.02735381902049,True,H_t_20,20,168.0
H_t_20_+50%,{'Qk': [104, 99, 81, 52, 28], 'H_b': [3700, 3600, 3400, 2800, 1800], 'H_t_40': 200, 'H_t_20': 210.0, 'Handling_time': 0.16666666666666666, 'travel_times': 1.0, 'num_barges': 5, 'N': 16, 'C': 160},160,16,38962.49999999999,36346.0,2616.4999999999927,6.715431504651892,4,38,122,34.02735381902049,True,H_t_20,50,210.0
Qk_base,{'Qk': [104, 99, 81, 52, 28], 'H_b': [3700, 3600, 3400, 2800, 1800], 'H_t_40': 200, 'H_t_20': 140, 'Handling_time': 0.16666666666666666, 'travel_times': 1.0, 'num_barges': 5, 'N': 16, 'C': 160},160,16,37772.49999999999,35016,2756.4999999999927,7.297637169898719,4,38,122,34.02735381902049,True,Qk,0,
Qk_+20%,{'Qk': [124, 118, 97, 62, 33], 'H_b': [3700, 3600, 3400, 2800, 1800], 'H_t_40': 200, 'H_t_20': 140, 'Handling_time': 0.16666666666666666, 'travel_times': 1.0, 'num_barges': 5, 'N': 16, 'C': 160},160,16,37772.49999999999,35016,2756.4999999999927,7.297637169898719,4,38,122,28.719792705908432,True,Qk,20,
Qk_+50%,{'Qk': [156, 148, 121, 78, 42], 'H_b': [3700, 3600, 3400, 2800, 1800], 'H_t_40': 200, 'H_t_20': 140, 'Handling_time': 0.16666666666666666, 'travel_times': 1.0, 'num_barges': 5, 'N': 16, 'C': 160},160,16,37772.49999999999,35016,2756.4999999999927,7.297637169898719,4,38,122,22.693405079768716,True,Qk,50,
num_barges_4,{'Qk': [104, 99, 81, 52, 28], 'H_b': [3700, 3600, 3400, 2800, 1800], 'H_t_40': 200, 'H_t_20': 140, 'Handling_time': 0.16666666666666666, 'travel_times': 1.0, 'num_barges': 4, 'N': 16, 'C': 160},160,16,38194.0,38016,178.0,0.466041786668063,4,32,128,16.88546792713459,True,num_barges,,
num_barges_6,{'Qk': [104, 99, 81, 52, 28], 'H_b': [3700, 3600, 3400, 2800, 1800], 'H_t_40': 200, 'H_t_20': 140, 'Handling_time': 0.16666666666666666, 'travel_times': 1.0, 'num_barges': 6, 'N': 16, 'C': 160},160,16,38663.0,35888,2775.0,7.177404753899077,5,43,117,33.65045448378782,True,num_barges,,
num_barges_8,{'Qk': [104, 99, 81, 52, 28], 'H_b': [3700, 3600, 3400, 2800, 1800], 'H_t_40': 200, 'H_t_20': 140, 'Handling_time': 0.16666666666666666, 'travel_times': 1.0, 'num_barges': 8, 'N': 16, 'C': 160},160,16,37704.0,37426,278.0,0.7373223000212179,8,73,87,42.37130539213872,True,num_barges,,
C_80,{'Qk': [104, 99, 81, 52, 28], 'H_b': [3700, 3600, 3400, 2800, 1800], 'H_t_40': 200, 'H_t_20': 140, 'Handling_time': 0.16666666666666666, 'travel_times': 1.0, 'num_barges': 5, 'N': 16, 'C': 80},80,16,26592.499999999993,17808,8784.499999999993,33.03375011751432,2,15,65,28.640109890109887,True,C,,
C_120,{'Qk': [104, 99, 81, 52, 28], 'H_b': [3700, 3600, 3400, 2800, 1800], 'H_t_40': 200, 'H_t_20': 140, 'Handling_time': 0.16666666666666666, 'travel_times': 1.0, 'num_barges': 5, 'N': 16, 'C': 120},120,16,33152.49999999999,27242,5910.499999999993,17.828218083100804,3,25,95,30.483867983867984,True,C,,
C_160,{'Qk': [104, 99, 81, 52, 28], 'H_b': [3700, 3600, 3400, 2800, 1800], 'H_t_40': 200, 'H_t_20': 140, 'Handling_time': 0.16666666666666666, 'travel_times': 1.0, 'num_barges': 5, 'N': 16, 'C': 160},160,16,37772.49999999999,35016,2756.4999999999927,7.297637169898719,4,38,122,34.02735381902049,True,C,,
